CS1	COUPE
CS2	ENVOL
CS3	SURF
CS4	FORCE
CS5	SIPHON
CS6	ECLATE_ROC
CS7	CASCADE
CS8	ESCALADE
CS9	PLONGEE
CT1	AIGUISAGE	1
CT2	DRACOGRIFFE	1
CT3	CHOC_PSY	1
CT4	PLENITUDE	1
CT5	HURLEMENT	1
CT6	TOXIK	1
CT7	GRELE	1
CT8	GONFLETTE	1
CT9	CHOC_VENIN	1
CT10	PUIS_CACHEE	1
CT11	ZENITH	1
CT12	PROVOC	1
CT13	LASER_GLACE	1
CT14	BLIZZARD	1
CT15	ULTRALASER	1
CT17	ABRI	1
CT16	MUR_LUMIERE	1
CT19	ATTERRISSAGE	1
CT18	DANSE_PLUIE	1
CT21	FRUSTRATION	1
CT20	RUNE_PROTECT	1
CT23	ANTI_AIR	1
CT22	LANCE_SOLEIL	1
CT25	FATAL_FOUDRE	1
CT24	TONNERRE	1
CT27	RETOUR	1
CT26	SEISME	1
CT29	PSYKO	1
CT28	TUNNEL	1
CT31	CASSE_BRIQUE	1
CT30	BALL_OMBRE	1
CT34	CRADOVAGUE	1
CT35	LANCE_FLAMME	1
CT32	REFLET	1
CT33	PROTECTION	1
CT38	DEFLAGRATION	1
CT39	TOMBEROCHE	1
CT36	BOMB_BEURK	1
CT37	TEMPETESABLE	1
CT42	FACADE	1
CT43	NITROCHARGE	1
CT40	AEROPIQUE	1
CT41	TOURMENTE	1
CT46	LARCIN	1
CT47	BALAYETTE	1
CT44	REPOS	1
CT45	ATTRACTION	1
CT51	AILE_D_ACIER	1
CT50	SURCHAUFFE	1
CT49	ECHO	1
CT48	CHANT_CANON	1
CT55	EBULLITION	1
CT54	FAUX_CHAGE	1
CT53	ECO_SPHERE	1
CT52	EXPLOFORCE	1
CT59	CALCINATION	1
CT58	CHUTE_LIBRE	1
CT57	RAYON_CHARGE	1
CT56	DEGOMMAGE	1
CT63	EMBARGO	1
CT62	ACROBATIE	1
CT61	FEU_FOLLET	1
CT60	A_LA_QUEUE	1
CT68	GIGA_IMPACT	1
CT69	POLIROCHE	1
CT70	FLASH	1
CT71	LAME_DE_ROC	1
CT64	EXPLOSION	1
CT65	GRIFFE_OMBRE	1
CT66	REPRESAILLES	1
CT67	VENGEANCE	1
CT76	SURVINSECTE	1
CT77	BOOST	1
CT78	PIETISOL	1
CT79	SOUFFLE_GLACE	1
CT72	CHANGE_ECLAIR	1
CT73	CAGE_ECLAIR	1
CT74	GYROBALLE	1
CT75	DANSE_LAMES	1
CT85	DEVOREVE	1
CT84	DIRECT_TOXIK	1
CT87	VANTARDISE	1
CT86	NOEUD_HERBE	1
CT81	PLAIE_CROIX	1
CT80	EBOULEMENT	1
CT83	HARCELEMENT	1
CT82	DRACO_QUEUE	1
CT93	ECLAIR_FOU	1
CT92	DISTORSION	1
CT95	ABOIEMENT	1
CT94	ECLATE_ROC	1
CT89	DEMI_TOUR	1
CT88	BLABLA_DODO	1
CT91	LUMINOCANON	1
CT90	CLONAGE	1
CT100	CONFIDENCE	1
CT98	POING_BOOST	1
CT99	ECLAT_MAGIQUE	1
CT96	FORCE_NATURE	1
CT97	VIBROBSCUR	1
