	VOL	ROCHE	POISON	ELECTRIQUE	PLANTE	FEU	DRAGON	INSECTE	EAU	PSY	SPECTRE	SOL	GLACE	ACIER	FEE	COMBAT	NORMAL	TENEBRE
VOL	1	2	1	2	1/2	1	1	1/2	1	1	1	0	2	1	1	1/2	1	1
ROCHE	1/2	1	1/2	1	2	1/2	1	1	2	1	1	2	1	2	1	2	1/2	1
POISON	1	1	1/2	1	1/2	1	1	1/2	1	2	1	2	1	1	1/2	1/2	1	1
ELECTRIQUE	1/2	1	1	1/2	1	1	1	1	1	1	1	2	1	1/2	1	1	1	1
PLANTE	2	1	2	1/2	1/2	2	1	2	1/2	1	1	1/2	2	1	1	1	1	1
FEU	1	2	1	1	1/2	1/2	1	1/2	2	1	1	2	1/2	1/2	1/2	1	1	1
DRAGON	1	1	1	1/2	1/2	1/2	2	1	1/2	1	1	1	2	1	2	1	1	1
INSECTE	2	2	1	1	1/2	2	1	1	1	1	1	1/2	1	1	1	1/2	1	1
EAU	1	1	1	2	2	1/2	1	1	1/2	1	1	1	1/2	1/2	1	1	1	1
PSY	1	1	1	1	1	1	1	2	1	1/2	2	1	1	1	1	1/2	1	2
SPECTRE	1	1	1/2	1	1	1	1	1/2	1	1	2	1	1	1	1	0	0	2
SOL	1	1/2	1/2	0	2	1	1	1	2	1	1	1	2	1	1	1	1	1
GLACE	1	2	1	1	1	2	1	1	1	1	1	1	1/2	2	1	2	1	1
ACIER	1/2	1/2	0	1	1/2	2	1/2	1/2	1	1/2	1/2	2	1/2	1/2	1/2	2	1/2	1/2
FEE	1	1	2	1	1	1	0	1/2	1	1	1	1	1	2	1	1/2	1	1/2
COMBAT	2	1/2	1	1	1	1	1	1/2	1	2	1	1	1	1	2	1	1	1/2
NORMAL	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1
TENEBRE	1	1	1	1	1	1	1	2	1	0	1/2	1	1	1	2	2	1	1/2
