NUCLEOS	SOLOSIS
CORBOSS	HONCHKROW
CHARMILLON	BEAUTIFLY
TROMPIGNON	FOONGUS
GALVARAN	HELIOPTILE
STRASSIE	CARBINK
FLAMBUSARD	TALONFLAME
ELEKTEK	ELECTABUZZ
OCTILLERY	OCTILLERY
CASTORNO	BIBAREL
VIPELIERRE	SNIVY
FEURISSON	QUILAVA
HERBIZARRE	IVYSAUR
ARMULYS	SILCOON
TARINOR	NOSEPASS
REGIROCK	REGIROCK
MELANCOLUX	LAMPENT
MUPLODOCUS	GOODRA
FLOTOUTAN	SIMIPOUR
NOCTUNOIR	DUSKNOIR
ARBOK	ARBOK
MATELOUTRE	DEWOTT
FOUINAR	FURRET
OKEOKE	WYNAUT
MARAISTE	QUAGSIRE
LIBEGON	FLYGON
DRATTAK	SALAMENCE
CLIC	KLANG
LEPIDONILLE	SCATTERBUG
PSYKOKWAK	PSYDUCK
HIPPOPOTAS	HIPPOPOTAS
LILIA	LILEEP
POUSSIFEU	TORCHIC
GIRAFARIG	GIRAFARIG
FLINGOUSTE	CLAUNCHER
ECAYON	FINNEON
SERACRAWL	AVALUGG
GRANBULL	GRANBULL
COXYCLAQUE	LEDIAN
SCARHINO	HERACROSS
BANSHITROUYE	GOURGEIST
FLAGADOSS	SLOWBRO
AZUMARILL	AZUMARILL
NEGAPI	MINUN
LOMBRE	LOMBRE
CHARKOS	RAMPARDOS
REGIGIGAS	REGIGIGAS
ALAKAZAM	ALAKAZAM
MIRADAR	WATCHOG
EOKO	CHIMECHO
GOLEMASTOC	GOLURK
CUPCANAILLE	SLURPUFF
AMONISTAR	OMASTAR
VICTINI	VICTINI
YANMA	YANMA
CHARMINA	MEDICHAM
HYPOROI	KINGDRA
LUXRAY	LUXRAY
OSSATUEUR	MAROWAK
LOUPIO	CHINCHOU
CARCHACROK	GARCHOMP
CHARTOR	TORKOAL
LEVEINARD	CHANSEY
COXY	LEDYBA
ROITIFLAM	EMBOAR
CHAPIGNON	BRELOOM
JUNGKO	SCEPTILE
SAQUEDENEU	TANGELA
RELICANTH	RELICANTH
TENTACOOL	TENTACOOL
POLARHUME	CUBCHOO
MELOETTA	MELOETTA
BULBIZARRE	BULBASAUR
REMORAID	REMORAID
KADABRA	KADABRA
GRORET	GRUMPIG
CREFOLLET	MESPRIT
BOSKARA	GROTLE
FLABEBE	FLABEBE
REPTINCEL	CHARMELEON
CRAPUSTULE	SEISMITOAD
PTERA	AERODACTYL
ETOURMI	STARLY
DARUMAROND	DARUMAKA
MUCIOLE	VOLBEAT
PHIONE	PHIONE
SEVIPER	SEVIPER
MAGMAR	MAGMAR
MARILL	MARILL
NEMELIOS	PYROAR
PANDESPIEGLE	PANCHAM
PANDARBARE	PANGORO
MARCACRIN	SWINUB
MESMERELLA	GOTHORITA
ARKEAPTI	ARCHEN
HAYDAIM	SAWSBUCK
ROSERADE	ROSERADE
COUVERDURE	SWADLOON
QULBUTOKE	WOBBUFFET
LIMASPEED	ACCELGOR
NOSTENFER	CROBAT
ABSOL	ABSOL
KOKIYAS	SHELLDER
MUCUSCULE	GOOMY
OHMASSACRE	EELEKTROSS
FARFADUVET	WHIMSICOTT
TOGEPI	TOGEPI
ANORITH	ANORITH
CAPIDEXTRE	AMBIPOM
RAYQUAZA	RAYQUAZA
MENTALI	ESPEON
SANCOKI	SHELLOS
VOLTALI	JOLTEON
LUMIVOLE	ILLUMISE
PICHU	PICHU
HERICENDRE	CYNDAQUIL
FORETRESS	FORRETRESS
AMPHINOBI	GRENINJA
COCOTINE	AROMATISSE
BAGGIGUANE	SCRAGGY
COCONFORT	KAKUNA
SMOGOGO	WEEZING
DEMETEROS	LANDORUS
RATTATAC	RATICATE
MUSHANA	MUSHARNA
TUTANKAFER	COFAGRIGUS
GLOUPTI	GULPIN
KRABBY	KRABBY
YANMEGA	YANMEGA
FULGURIS	THUNDURUS
KYUREM	KYUREM
LIMAGMA	SLUGMA
DEOXYS	DEOXYS
KUNGFOUINE	MIENFOO
FEUNNEC	FENNEKIN
CARATROC	SHUCKLE
LOCKPIN	LOPUNNY
HARIYAMA	HARIYAMA
MAJASPIC	SERPERIOR
GALOPA	RAPIDASH
RAIKOU	RAIKOU
EXCELANGUE	LICKITUNG
MANGRIFF	ZANGOOSE
DIALGA	DIALGA
DIANCIE	DIANCIE
TRANCHODON	HAXORUS
ARCHEODONG	BRONZONG
MAGIREVE	MISMAGIUS
RACAILLOU	GEODUDE
CANARTICHO	FARFETCH_D
TYPHLOSION	TYPHLOSION
HEATRAN	HEATRAN
CHAGLAM	GLAMEOW
MANAPHY	MANAPHY
PORYGON2	PORYGON2
IGUOLTA	HELIOLISK
FLUVETIN	SPRITZEE
MORPHEO	CASTFORM
ARCANIN	ARCANINE
PONCHIOT	LILLIPUP
TRITONDE	TYMPOLE
DEMOLOSSE	HOUNDOOM
CHAFFREUX	PURUGLY
SUICUNE	SUICUNE
ARCEUS	ARCEUS
CACNEA	CACNEA
LOKHLASS	LAPRAS
TERACLOPE	DUSCLOPS
TETARTE	POLIWHIRL
DARUMACHO	DARMANITAN
EMPIFLOR	VICTREEBEL
SEPIATROCE	MALAMAR
TAUPIQUEUR	DIGLETT
ZYGARDE	ZYGARDE
YMPHECT	PUPITAR
BROUHABAM	EXPLOUD
MELODELFE	CLEFABLE
COUPENOTTE	AXEW
PIKACHU	PIKACHU
CRADOPAUD	CROAGUNK
MARISSON	CHESPIN
VIBRANINF	VIBRAVA
DIMORET	WEAVILE
RAPION	SKORUPI
CRYPTERO	SIGILYPH
CAMERUPT	CAMERUPT
ARMALDO	ARMALDO
GRANIVOL	HOPPIP
ROSELIA	ROSELIA
NIDOQUEEN	NIDOQUEEN
LAPOREILLE	BUNEARY
SKELENOX	DUSKULL
ENTEI	ENTEI
PORYGON_Z	PORYGON_Z
LEWSOR	ELGYEM
NOACIER	FERROTHORN
DIMOCLES	DOUBLADE
DRACAUFEU	CHARIZARD
DYNAVOLT	ELECTRIKE
CHARPENTI	TIMBURR
KAPOERA	HITMONTOP
LIPPOUTOU	JYNX
KRABBOSS	KINGLER
CARABING	KARRABLAST
MIGALOS	ARIADOS
CHIMPENFEU	MONFERNO
CARAPUCE	SQUIRTLE
PARECOOL	SLAKOTH
KAIMINUS	TOTODILE
TRITOSOR	GASTRODON
MACKOGNEUR	MACHAMP
DEBUGANT	TYROGUE
ELECTRODE	ELECTRODE
TORTERRA	TORTERRA
PARASECT	PARASECT
REGICE	REGICE
M_MIME	MR_MIME
CARMACHE	GABITE
MIAOUSS	MEOWTH
BROCELOME	PHANTUMP
SCALPROIE	BISHARP
DRACOLOSSE	DRAGONITE
POICHIGEON	PIDOVE
CORAYON	CORSOLA
PALKIA	PALKIA
TERRAKIUM	TERRAKION
VISKUSE	FRILLISH
KELDEO	KELDEO
COUAFAREL	FURFROU
MOUFFLAIR	SKUNTANK
FRAGILADY	LILLIGANT
GEOLITHE	BOLDORE
TERHAL	BELDUM
COTOVOL	JUMPLUFF
ZOROARK	ZOROARK
ELEKID	ELEKID
SMOGO	KOFFING
NOEUNOEUF	EXEGGCUTE
HELIATRONC	SUNFLORA
SKITTY	SKITTY
SCOBOLIDE	WHIRLIPEDE
GOLGOPATHE	BARBARACLE
ZIGZATON	ZIGZAGOON
GROUDON	GROUDON
GRAVALANCH	GRAVELER
MAGNETI	MAGNEMITE
OTARIA	SEEL
BABIMANTA	MANTYKE
CHENIPAN	CATERPIE
MASTOUFFE	STOUTLAND
AKWAKWAK	GOLDUCK
MOMARTIK	FROSLASS
BRAISILLON	FLETCHINDER
MARACACHI	MARACTUS
GAULET	AMOONGUSS
CLITICLIC	KLINKLANG
PASHMILLA	CINCCINO
MEW	MEW
PRINPLOUF	PRINPLUP
COQUIPERL	CLAMPERL
HYPOCEAN	SEADRA
SOPORIFIK	DROWZEE
SULFURA	MOLTRES
KABUTOPS	KABUTOPS
METALOSSE	METAGROSS
NEITRAM	BEHEEYEM
TRIOPIKEUR	DUGTRIO
PAPILUSION	BUTTERFREE
RHINASTOC	RHYPERIOR
VOLCAROPOD	MAGCARGO
BRUYVERNE	NOIVERN
KIRLIA	KIRLIA
CRUSTABRI	CLOYSTER
CHUCHMUR	WHISMUR
MANZAI	BONSLY
GROLEM	GOLEM
CRESSELIA	CRESSELIA
VAUTUTRICE	MANDIBUZZ
KANGOUREX	KANGASKHAN
MACHOC	MACHOP
RESHIRAM	RESHIRAM
FOUINETTE	SENTRET
MAGBY	MAGBY
HOOPA	HOOPA
SYMBIOS	REUNICLUS
SORBOUL	VANILLISH
CIZAYOX	SCIZOR
TARPAUD	POLITOED
TENGALICE	SHIFTRY
CACTURNE	CACTURNE
TORTANK	BLASTOISE
DODUO	DODUO
NIDOKING	NIDOKING
INSECATEUR	SCYTHER
MYGAVOLT	GALVANTULA
MANTERNEL	LEAVANNY
RAICHU	RAICHU
FLORIZARRE	VENUSAUR
PRISMILLON	VIVILLON
ETOURVOL	STARAVIA
SHAYMIN	SHAYMIN
JUDOKRAK	THROH
MOYADE	JELLICENT
WAILMER	WAILMER
CARAPAGOS	TIRTOUGA
ELECTHOR	ZAPDOS
MEIOS	DUOSION
MEDHYENA	POOCHYENA
NENUPIOT	LOTAD
COATOX	TOXICROAK
PIFEUIL	NUZLEAF
CERIBOU	CHERUBI
AIKIVOL	AIKIFLY
HOOTHOOT	HOOTHOOT
LATIAS	LATIAS
TARSAL	RALTS
REGISTEEL	REGISTEEL
MEGANIUM	MEGANIUM
COUDLANGUE	LICKILICKY
