DENT_OCEAN	DEEPSEATOOTH
RAPPEL	REVIVE
BAIE_PITAYE	PETAYA_BERRY
ROCHE_LISSE	SMOOTH_ROCK
BAIE_LAMPOU	COLBUR_BERRY
POUDRE_VITE	QUICK_POWDER
BAIE_CERIZ	CHERI_BERRY
PIERRE_FOUDRE	THUNDER_STONE
HYPER_BALL	ULTRA_BALL
GRAIN_MIRACL	MIRACLE_SEED
GRIFFE_RASOIR	RAZOR_CLAW
CEINTURE_PRO	EXPERT_BELT
BAIE_BABIRI	BABIRI_BERRY
CEINT_NOIRE	BLACK_BELT
ROCHE_HUMIDE	DAMP_ROCK
POUDRE_METAL	METAL_POWDER
EAU_FRAICHE	FRESH_WATER
PILE	CELL_BATTERY
BAIE_GOWAV	AGUAV_BERRY
BAIE_PAPAYA	IAPAPA_BERRY
ENCENS_VAGUE	WAVE_INCENSE
PIERRE_STASE	EVERSTONE
LOVE_BALL	LOVE_BALL
PLAQUE_DRACO	DRACO_PLATE
GRANDE_PERLE	BIG_PEARL
PIECE_RUNE	AMULET_COIN
BAIE_KIKA	PERSIM_BERRY
BAIE_NANONE	YACHE_BERRY
BAIE_POCPOC	PASSHO_BERRY
MODULE_AQUA	AQUA_CASSETTE
PIERRE_ECLAT	SHINY_STONE
MAX_ELIXIR	MAX_ELIXIR
POKE_BALL	POKE_BALL
OEUF_CHANCE	LUCKY_EGG
MOUCH_CHOIX	CHOICE_SCARF
ENCENS_FLEUR	ROSE_INCENSE
PLAQUE_OMBRE	DREAD_PLATE
BAIE_KEBIA	KEBIA_BERRY
ROCHE_GLACE	ICY_ROCK
BAIE_ENIGMA	ENIGMA_BERRY
BAIE_RABUTA	RABUTA_BERRY
BAIE_WILLIA	ASPEAR_BERRY
LUMARGILE	LIGHT_CLAY
EAU_MYSTIQUE	MYSTIC_WATER
CENDRESACREE	SACRED_ASH
SODA_COOL	SODA_POP
BAIE_JOUCA	SHUCA_BERRY
PIERRE_EAU	WATER_STONE
ENCENS_ROC	ROCK_INCENSE
BANDEAU	FOCUS_BAND
JUS_DE_BAIE	BERRY_JUICE
LUNET_SAGES	WISE_GLASSES
BAIE_NANAB	NANAB_BERRY
ORBE_FLAMME	FLAME_ORB
BOULE_FUMEE	SMOKE_BALL
ACCRO_GRIFFE	GRIP_CLAW
HYPER_POTION	HYPER_POTION
PEPITE	NUGGET
ROCHE_CHAUDE	HEAT_ROCK
BAIE_SELRO	ROSELI_BERRY
LICHEN_LUMINEUX	LUMINOUS_MOSS
TOTAL_SOIN	FULL_HEAL
ENCENS_PUR	PURE_INCENSE
ORBE_VIE	LIFE_ORB
BAIE_YAPAP	PAYAPA_BERRY
MAX_REPOUSSE	MAX_REPEL
LAIT_MEUMEU	MOOMOO_MILK
PIERRE_OVALE	OVAL_STONE
SABLE_DOUX	SOFT_SAND
BAIE_SEDRA	KASIB_BERRY
SUPER_BALL	GREAT_BALL
BAIE_MEPO	LEPPA_BERRY
PP_PLUS	PP_PLUS
POTION	POTION
BAIE_TRONCI	NOMEL_BERRY
VIEIL_AMBRE	OLD_AMBER
BAIE_MICLE	MICLE_BERRY
BAIE_ZALIS	CHILAN_BERRY
REPOUSSE	REPEL
BAIE_STEKPA	WATMEL_BERRY
PV_PLUS	HP_UP
PIERRE_SOLAIRE	SUN_STONE
BAIE_KIWAN	SPELON_BERRY
NAUTILE	HELIX_FOSSIL
BAIE_PANGA	TANGA_BERRY
BAIE_FRAIVE	RAWST_BERRY
PIC_VENIN	POISON_BARB
GUERISON	FULL_RESTORE
BAIE_POMROZ	CHOPLE_BERRY
PLAQUE_FLAM	FLAME_PLATE
FILET_BALL	NET_BALL
BAIE_PALMA	PAMTRE_BERRY
CEINT_POUV	POWER_BELT
CHRONO_BALL	TIMER_BALL
REVEIL	AWAKENING
ENCENS_VEINE	LUCK_INCENSE
GROSSERACINE	BIG_ROOT
HERBEBLANCHE	WHITE_HERB
SOMBRE_BALL	DUSK_BALL
BAIE_REMU	BLUK_BERRY
PLAQUINSECT	INSECT_PLATE
BATON	STICK
RUNE_SORT	SPELL_TAG
COMPET_BALL	COMPE_BALL
VULNE_ASSURANCE	WEAKNESS_POLICY
ORBE_ADAMANT	ADAMANT_ORB
MOUCH_SOIE	SILK_SCARF
FOSSILE_GRIFFE	CLAW_FOSSIL
BAIE_WIKI	WIKI_BERRY
GLACETERNEL	NEVERMELTICE
PT_DE_MIRE	RING_TARGET
BAIE_LICHII	LIECHI_BERRY
PIERRE_FEU	FIRE_STONE
PLAQUE_FANTO	SPOOKE_PLATE
PLAQUESPRIT	MIND_PLATE
CUILLERTORDU	TWISTEDSPOON
FERRAILLE	IRONING
BEC_POINTU	SHARP_BEAK
CHAINE_POUV	POWER_ANKLET
BAIE_QUALOT	QUALOT_BERRY
ECAILLE_OCEAN	DEEPSEASCALE
PROTEINE	PROTEIN
PETIT_CHAMPI	TINYMUSHROOM
LIMONADE	LEMONADE
FOSSILE_RACINE	ROOT_FOSSIL
POING_CHANCE	LUCKY_PUNCH
CARTE_ROUGE	RED_CARD
VESTE_DE_COMBAT	ASSAULT_VEST
SUPER_POTION	SUPER_POTION
PIERRE_NUIT	DUSK_STONE
PIERRE_DURE	HARD_STONE
ANTI_BRULE	BURN_HEAL
RUNE_PURIF	CLEANSE_TAG
ORBE_PLATINE	GRISEOUS_ORB
SPEED_BALL	FAST_BALL
PLAQUE_GLACE	ICICLE_PLATE
PLAQUE_ROC	STONE_PLATE
BOUE_NOIRE	BLACK_SLUDGE
ENCENS_MER	SEA_INCENSE
CEINT_FORCE	FOCUS_SASH
MAGMARISEUR	MAGMARIZER
BAIE_SIAM	CORNN_BERRY
PIERRE_MOUSSE	MOSS_STONE
METRO	METRONOME
PIERRALLEGEE	LIGHT_STONE
BAIE_REPOI	WEPEAR_BERRY
VIVE_GRIFFE	QUICK_CLAW
CROC_DRAGON	DRAGON_FANG
CARAPACE_MUE	SHED_SHELL
SCUBA_BALL	DIVE_BALL
PLAQUE_FER	IRON_PLATE
BAND_CHOIX	CHOICE_BAND
BAIE_PRINE	LUM_BERRY
MORC_ETOILE	STAR_PIECE
ANTIDOTE	ANTIDOTE
BAIE_SAILAK	SALAC_BERRY
BAIE_FRAIGO	HABAN_BERRY
BANDEAU_ETREINTE	PRESSURE_BAND
POIDS_POUV	POWER_WEIGHT
BAIE_LINGAN	GANLON_BERRY
BAND_POUV	POWER_BAND
SOIN_BALL	HEAL_BALL
FOSSILE_PLUME	WING_FOSSIL
PIERRE_LUNE	MOON_STONE
RAPPEL_MAX	MAX_REVIVE
PLAQUE_FEE	PIXIE_PLATE
BAIE_CHARTI	CHARTI_BERRY
BAIE_CHOCCO	OCCA_BERRY
BAIE_ABRIKO	APICOT_BERRY
BAIE_JABOCA	JABOCA_BERRY
BAIE_FIGUY	FIGY_BERRY
LENTILSCOPE	SCOPE_LENS
COPAIN_BALL	FRIEND_BALL
NOEUD_DESTIN	DESTINY_KNOT
BAIE_CHERIM	CUSTAP_BERRY
MODULE_CRYO	FREEZE_CASSETTE
HONOR_BALL	PREMIER_BALL
LUNE_BALL	MOON_BALL
PLAQUE_HYDRO	SPLASH_PLATE
BAIE_NANANA	PINAP_BERRY
HUILE	ETHER
LENT_POUV	POWER_LENS
BOULE_DE_NEIGE	SNOWBALL
BAIE_MYRTE	BELUE_BERRY
RAPIDE_BALL	QUICK_BALL
CD_DOUTEUX	DUBIOUS_DISC
