PINCE_MASSE	CRABHAMMER
BAILLEMENT	YAWN
MUR_DE_FER	IRON_DEFENSE
BERCEUSE	SING
DESTRUCTION	SELFDESTRUCT
PRESSE	CRUSH_GRIP
SURF	SURF
AMPLEUR	MAGNITUDE
ANNEAU_HYDRO	AQUA_RING
BOUL_ARMURE	DEFENSE_CURL
DELUGE_PLASMIQUE	ION_DELUGE
PSYKOUD_BOUL	ZEN_HEADBUTT
VANTARDISE	SWAGGER
ORAGE	THUNDERSTORM
CROC_FATAL	SUPER_FANG
CONVERSION_2	CONVERSION_2
EBULLITION	SCALD
RAYON_LUNE	MOONLIGHT
POURSUITE	PURSUIT
LANCECROU	GEAR_GRIND
MEGAFOUET	POWER_WHIP
FEU_ENSORCELE	MYSTICAL_FIRE
HOLD_BACK	HOLD_BACK
CHOC_MENTAL	CONFUSION
COUD_BOUE	MUD_SLAP
TECHNO_BUSTER	TECHNO_BLAST
COUD_KRANE	SKULL_BASH
DEVOREVE	DREAM_EATER
MACH_PUNCH	MACH_PUNCH
LYOPHILISATION	FREEZE_DRY
TROU_DIMENSIONNEL	HYPERSPACE_HOLE
ABIME	FISSURE
ALLEGEMENT	AUTOTOMIZE
TOUR_RAPIDE	RAPID_SPIN
BOMBE_ACIDE	ACID_SPRAY
RAYON_SIMPLE	SIMPLE_BEAM
FLAMMECHE	EMBER
ELECTRISATION	ELECTRIFY
GROBISOU	LOVELY_KISS
APPEL_DEFENS	DEFEND_ORDER
CHANT_CANON	ROUND
PISTO_POING	BULLET_PUNCH
PRESCIENCE	FUTURE_SIGHT
ROC_BOULET	ROCK_WRECKER
TIR_DE_BOUE	MUD_SHOT
ECLATEGRIFFE	CRUSH_CLAW
BOULE_ELEK	ELECTRO_BALL
TOURNIQUET	WATER_SPORT
FULMIFER	METAL_BURST
PSYKO	PSYCHIC
GLAS_DE_SOIN	HEAL_BELL
BASTON	BEAT_UP
VIBROBSCUR	DARK_PULSE
BALL_OMBRE	SHADOW_BALL
VOILE_MIROIR	MIRROR_COAT
BOUE_BOMBE	MUD_BOMB
ECLAIR_FOU	WILD_CHARGE
DANSE_LAMES	SWORDS_DANCE
ANTI_SOIN	HEAL_BLOCK
EXPLOSION	EXPLOSION
CROISSANCE	GROWTH
GARDE_LARGE	WIDE_GUARD
FULMIGRAINE	SEED_FLARE
TEN_DANSE	ENTRAINMENT
VENT_VIOLENT	HURRICANE
DANSE_LUNE	LUNAR_DANCE
VENT_ARRIERE	TAILWIND
SAUMURE	BRINE
MEGACORNE	MEGAHORN
AVALANCHE	AVALANCHE
RUSE	FEINT
POING_ECLAIR	THUNDERPUNCH
INTERVERSION	ALLY_SWITCH
SPATIO_RIFT	SPACIAL_REND
REQUIEM	PERISH_SONG
FORCE	STRENGTH
RACINES	INGRAIN
COUPE_VENT	RAZOR_WIND
DANSE_PLUME	FEATHERDANCE
ACIDE	ACID
TRIPLE_PIED	TRIPLE_KICK
BOURDON	BUG_BUZZ
IMITATION	ROLE_PLAY
MORSURE	BITE
PERMUCOEUR	HEART_SWAP
REPOS	REST
POUDRE_TOXIK	POISONPOWDER
ONDES_ETRANGES	EERIE_IMPULSE
STRATOPERCUT	SKY_UPPERCUT
BOOST	PSYCH_UP
ETRANGLEMENT	ETRANGLEMENT
TELLURIFORCE	EARTH_POWER
ELECANON	ZAP_CANNON
DEGOMMAGE	FLING
ECLAIR_CROIX	FUSION_BOLT
PLANNEUR	PLAN
