div	Division
puis	Puissance
quot	Quotient de la division euclidienne
mod	Reste de la division euclidienne
modtaux	Reste de la division
abs	Valeur absolue
ent	Partie enti&egrave;re
taux	Nombre rationnel
troncature	Troncature de
num	Num&eacute;rateur
den	D&eacute;nominateur
min	Minimum
max	Maximum
moy	Moyenne
var	Variance
caracferme	Caract&eacute;ristique du ferm&eacute;
caracouvert	Caract&eacute;ristique de l'ouvert
caracsemiouvertg	Caract&eacute;ristique de l'intervalle semi ouvert &agrave; gauche
caracsemiouvertd	Caract&eacute;ristique de l'intervalle semi ouvert &agrave; droite
caracgaucheouvert	Caract&eacute;ristique de l'intervalle ouvert &agrave; gauche
caracdroiteouvert	Caract&eacute;ristique de l'intervalle ouvert &agrave; droite
caracgaucheferme	Caract&eacute;ristique de l'intervalle &agrave; gauche ferm&eacute;
caracdroiteferme	Caract&eacute;ristique de l'intervalle &agrave; droite ferm&eacute;
sgn	Signe
cardinal	Nombre d'&eacute;l&eacute;ments
inter	Intersection
union	Union
complementaire	Compl&eacute;mentaire de
inclusnum	Inclusion num&eacute;rique
noninclusnum	Non inclusion num&eacute;rique
egalnum	Egalit&eacute; num&eacute;rique
differentnum	Diff&eacute;rence num&eacute;rique
vide	Ensemble vide
